directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4514490,1,1,40,1,6,2,1,2,1,1,0,1,50,1,21,60,3,5600,0,0,0,1600,8.63052187672324
4514490,1,2,34,2,6,2,0,2,1,1,0,1,45,1,3,132,5,4666.66650390625,0,0,0,1156,8.44820028505205
4514491,1,1,26,1,5,2,1,3,1,1,0,1,60,1,33,8,2,2868.8994140625,0,0,0,676,7.9616837557859
4514491,1,2,23,2,5,2,0,3,1,1,0,1,40,1,55,12,5,4303.34912109375,0,0,0,529,8.36714886389406
4514492,1,1,44,1,3,2,1,3,2,3,0,0,45,1,51,24,3,4148.14794921875,0,0,0,1936,8.33041723631671
4514494,1,6,20,9,5,2,0,3,2,1,0,0,48,1,45,4,2,4375,0,0,0,400,8.38366179879172
4514494,1,1,44,1,3,2,1,3,1,1,0,1,48,1,45,24,2,3586.12426757812,0,0,0,1936,8.18482730710011
4514494,1,7,20,9,4,2,1,3,2,1,0,0,50,1,45,36,2,4200,0,0,0,400,8.34283980427146
4514494,1,5,21,3,5,2,1,3,1,1,0,1,48,1,92,24,4,4861.111328125,0,0,0,441,8.4890223590924
4514494,1,3,22,3,5,2,1,3,1,1,0,1,40,1,45,36,2,,0,0,0,484,
4514495,1,1,29,1,4,2,1,1,2,1,0,0,90,1,98,96,2,,0,0,0,841,
4514496,1,1,24,1,6,2,1,3,1,1,1,1,40,1,5,1,5,,0,0,0,576,
4514497,1,2,38,2,5,2,0,2,2,1,0,0,28,1,51,48,2,4166.66650390625,0,0,0,1444,8.33487159555978
4514497,1,1,43,1,5,2,1,2,2,1,0,0,40,1,37,24,4,4666.66650390625,0,0,0,1849,8.44820028505205
4514498,1,1,32,1,5,2,1,2,1,1,0,1,48,1,45,12,2,4861.111328125,0,0,0,1024,8.4890223590924
4514499,1,1,44,1,5,1,0,2,2,3,1,0,24,1,45,9,1,,0,0,0,1936,
